x-axis,1,2
second,Volt,Volt
-250.0000E-03,+510.5528E-03,+54.1106E-03
-249.7500E-03,+261.0553E-03,+54.1106E-03
-249.5000E-03,-108.5427E-03,-34.3819E-03
-249.2500E-03,-259.2965E-03,-150.1106E-03
-249.0000E-03,-309.2965E-03,-150.1106E-03
-248.7500E-03,-293.4673E-03,-150.1106E-03
-248.5000E-03,-265.3266E-03,-150.1106E-03
-248.2500E-03,-241.2060E-03,-150.1106E-03
-248.0000E-03,-216.8342E-03,-137.1960E-03
-247.7500E-03,-192.9648E-03,-126.7940E-03
-247.5000E-03,-172.6131E-03,-119.5075E-03
-247.2500E-03,-160.5528E-03,-109.5075E-03
-247.0000E-03,-152.5126E-03,-106.6432E-03
-246.7500E-03,-146.4824E-03,-104.6332E-03
-246.5000E-03,-136.6834E-03,-101.8693E-03
-246.2500E-03,-130.4020E-03,-97.7990E-03
-246.0000E-03,-120.6030E-03,-101.0151E-03
-245.7500E-03,-134.6734E-03,-89.7588E-03
-245.5000E-03,-132.6633E-03,-88.9548E-03
-245.2500E-03,-130.4020E-03,-82.5729E-03
-245.0000E-03,-132.6633E-03,-71.3166E-03
-244.7500E-03,-134.4221E-03,-70.4623E-03
-244.5000E-03,-136.4322E-03,-64.0302E-03
-244.2500E-03,-128.6432E-03,-59.2563E-03
-244.0000E-03,-128.6432E-03,-57.5980E-03
-243.7500E-03,-132.6633E-03,-50.8141E-03
-243.5000E-03,-132.4121E-03,-56.0402E-03
-243.2500E-03,-126.3819E-03,-55.1859E-03
-243.0000E-03,-128.6432E-03,-58.4523E-03
-242.7500E-03,-132.6633E-03,-68.9045E-03
-242.5000E-03,-132.6633E-03,-72.1206E-03
-242.2500E-03,-134.4221E-03,-78.5025E-03
-242.0000E-03,-136.6834E-03,-86.5427E-03
-241.7500E-03,-132.6633E-03,-90.1608E-03
-241.5000E-03,-140.4523E-03,-93.8291E-03
-241.2500E-03,-130.4020E-03,-94.2312E-03
-241.0000E-03,-128.6432E-03,-95.4372E-03
-240.7500E-03,-134.6734E-03,-95.8392E-03
-240.5000E-03,-132.6633E-03,-102.6231E-03
-240.2500E-03,-136.4322E-03,-89.4070E-03
-240.0000E-03,-140.4523E-03,-84.1307E-03
-239.7500E-03,-134.6734E-03,-80.1608E-03
-239.5000E-03,-132.4121E-03,-76.0905E-03
-239.2500E-03,-134.6734E-03,-65.6884E-03
-239.0000E-03,-136.6834E-03,-61.6181E-03
-238.7500E-03,-136.6834E-03,-57.6482E-03
-238.5000E-03,-128.6432E-03,-51.1658E-03
