Frequenz [Hz] & verstärkte Amplitude [V] & Nicht-verstärkte Amplitude [mV] & Phasenverschiebung [DEG] # R1 = 1 kOhm; R2= 100kOhm; An Phasengenerator eingestellte Amplitude: 200 mV
500 ; 9.6 ; 215 ; 180
564.42 ; 9.6 ; 215 ; 180
637.14 ; 9.6 ; 215 ; 180
719.22 ; 9.6 ; 215 ; 180
811.89 ; 9.6 ; 215 ; 180
916.49 ; 9.6 ; 215 ; 177
1034.57 ; 9.6 ; 215 ; 178
1167.86 ; 9.6 ; 215 ; 177
1318.33 ; 9.6 ; 215 ; 175
1488.18 ; 9.6 ; 215 ; 175
1679.91 ; 9.6 ; 215 ; 173
1896.35 ; 9.2 ; 215 ; 173
2140.67 ; 9.2 ; 215 ; 173
2416.47 ; 9.0 ; 215 ; 170
2727.80 ; 9.2 ; 215 ; 170
3079.24 ; 9.2 ; 215 ; 170
3475.96 ; 8.9 ; 215 ; 170
3923.80 ; 8.8 ; 215 ; 169
4429.33 ; 8.3 ; 215 ; 166
5000 ; 8.7 ; 215 ; 163
